SupplierID,SupplierName,Category,Country,City,ContactName,ContactEmail,ContactPhone,AnnualRevenue,PaymentTerms,Active,RelationshipStartDate,TierRanking,DiversityStatus,SustainabilityRating,RiskCategory,Region,Latitude,Longitude
TW_SUP_0021,Clear Sanders-Rodriguez Tech,Health & Safety Consultancy,France,Lille,Claire Edwards,claire.edwards@clear.co.uk,+44 8429 668175,225523848,e,True,2019-11-28,Tier 3,Minority-Owned,BB,Critical,International,27.761726105001284,-92.57975710925655
TW_SUP_0022,Kennet PLC,Renewable Energy Solutions,United States,New York,Grace Cruz,grace.cruz@kennet.co.uk,+44 9304 354289,215957135,e,True,2023-02-20,Tier 1,Women-Owned,AA,High,International,32.19675043997336,-10.165344239807183
TW_SUP_0023,Southern Hughes-Allen Advisory,Health & Safety Consultancy,United Kingdom,Swindon,Maria Ramirez,maria.ramirez@southern.co.uk,+44 4773 305849,57496647,e,True,2019-04-19,Tier 2,Small Business,B,High,South,56.21034942580548,-2.9069243433997873
TW_SUP_0024,Bennett & Lee Consulting,Renewable Energy Solutions,United Kingdom,Aylesbury,Alice Richardson,alice.richardson@bennett.co.uk,+44 3924 644868,286619725,e,False,2022-09-13,Tier 3,Minority-Owned,BB,Critical,West,55.68088687420155,-3.243032818398264
TW_SUP_0025,Fisher & Foster Consulting,Mechanical & Electrical Engineering,Spain,Valencia,Evelyn Roberts,evelyn.roberts@fisher.co.uk,+44 6166 952641,168426149,e,True,2023-06-16,Tier 1,Not Applicable,B,Medium,International,36.42898680563091,4.62341706520121
TW_SUP_0026,Southern James Utilities,Professional Services (Legal/HR),Ireland,Dublin,Harper Stewart,harper.stewart@southern.co.uk,+44 6773 418463,151279298,e,True,2020-12-15,Tier 1,Minority-Owned,A,Critical,International,27.422497102164947,15.273835276834745
TW_SUP_0027,London Harris Consulting,Renewable Energy Solutions,United Kingdom,London,Emily Ward,emily.ward@london.co.uk,+44 4086 474997,307121319,e,True,2023-09-22,Tier 3,Minority-Owned,CCC,Medium,Central,55.05203723806692,-0.12520592144169562
TW_SUP_0028,Aqua James Engineering,Metering Technology & Services,United Kingdom,Glasgow,Benjamin Cruz,benjamin.cruz@aqua.co.uk,+44 8881 853813,38483267,e,True,2020-09-14,Tier 2,Not Applicable,BBB,Medium,Central,54.925075669725615,-3.7129374784004874
TW_SUP_0029,Severn Brooks-Thompson Solutions,IT & Technology Solutions,United Kingdom,Glasgow,Claire Barnes,claire.barnes@severn.co.uk,+44 8213 895200,148381840,e,True,2021-12-31,Tier 3,Small Business,AA,Medium,West,51.95248124876909,-1.6052682774974834
TW_SUP_0030,Pipe Insight Advisory 2,Environmental Consultancy,Netherlands,The Hague,Emily Allen,emily.allen@pipe.co.uk,+44 8605 772436,129091264,e,True,2018-07-16,Tier 3,Small Business,CCC,Medium,International,33.49237874412297,-43.660886256060394
TW_SUP_0031,Cyber Advisory,Environmental Consultancy,France,Paris,Stephen Roberts,stephen.roberts@cyber.co.uk,+44 8638 361314,12243099,e,True,2022-11-08,Tier 1,Small Business,A,Low,International,46.21476044621839,7.534670918953253
TW_SUP_0032,Enviro Cook-Sanders Advisory,Heavy Plant & Equipment Hire,United Kingdom,Basingstoke,Madison James,madison.james@enviro.co.uk,+44 5384 563513,345951080,e,True,2023-04-01,Tier 2,Veteran-Owned,BBB,Low,Central,54.32009161998124,-3.139583723717973
TW_SUP_0033,Aqua Watson-Green Consulting,Facilities Management,France,Bordeaux,Alexander Brooks,alexander.brooks@aqua.co.uk,+44 6913 137530,139991179,e,True,2019-01-15,Tier 2,Veteran-Owned,A,High,International,37.73388129740928,-54.4630289235905
TW_SUP_0034,Perry & Gray Consulting,Renewable Energy Solutions,Germany,Munich,Penelope Peterson,penelope.peterson@perry.co.uk,+44 5406 621389,77770869,e,True,2019-05-22,Tier 2,Minority-Owned,AAA,Critical,International,38.04111796724241,-31.058735771091506
TW_SUP_0035,Watson & Cruz Partners,Heavy Plant & Equipment Hire,Netherlands,Rotterdam,Penelope Moore,penelope.moore@watson.co.uk,+44 5026 679255,287199737,e,True,2018-12-28,Tier 2,Not Applicable,B,Critical,International,26.38143113826868,-63.51396902917644
TW_SUP_0036,Martin & Green Advisory,Health & Safety Consultancy,United Kingdom,Luton,Victoria Roberts,victoria.roberts@martin.co.uk,+44 7781 958069,344306768,e,True,2023-05-22,Tier 1,Veteran-Owned,CCC,High,Central,57.54313203158327,-2.4238780601099146
TW_SUP_0037,Severn Tech,Fleet Management & Logistics,United Kingdom,Reading,Maria Roberts,maria.roberts@severn.co.uk,+44 1588 653013,30921355,e,False,2018-01-21,Tier 3,Veteran-Owned,BB,Medium,West,55.49191110990857,-1.2982633015411702
TW_SUP_0038,Martin & White Advisory,Water Treatment Plant Operations,United Kingdom,Oxford,Benjamin Rivera,benjamin.rivera@martin.co.uk,+44 7995 868606,186403085,e,True,2023-09-06,Tier 1,Women-Owned,Not Rated,Critical,North,52.658639529529154,-4.62281533667646
TW_SUP_0039,Enviro Morgan Solutions,Research & Development,United Kingdom,Cambridge,Sophia Gomez,sophia.gomez@enviro.co.uk,+44 6241 487525,71701024,e,True,2022-04-17,Tier 1,Minority-Owned,AAA,Critical,East,51.70697143829796,1.6478189199291293
TW_SUP_0040,Tech Reed Engineering,Water Treatment Plant Operations,United Kingdom,Manchester,Caleb Murphy,caleb.murphy@tech.co.uk,+44 9206 886362,316901695,e,False,2023-08-09,Tier 3,Not Applicable,AAA,High,East,52.17810413413401,-5.421245899164297
TW_SUP_0041,Morales & Gray Consulting,Environmental Consultancy,United Kingdom,Slough,James Long,james.long@morales.co.uk,+44 5588 439700,353581944,e,True,2017-07-03,Tier 2,Small Business,B,Critical,South,56.23741614195675,-3.0300225337092788
TW_SUP_0042,Southern Taylor Utilities,Metering Technology & Services,United Kingdom,Luton,Hannah Young,hannah.young@southern.co.uk,+44 5706 924781,148343930,e,True,2022-05-07,Tier 3,Not Applicable,AA,Critical,West,54.469466014876424,-1.9155911734554723
TW_SUP_0043,Aqua Jenkins-Gutierrez Utilities,Pipeline & Network Maintenance,United Kingdom,Manchester,Natalie Ramirez,natalie.ramirez@aqua.co.uk,+44 3922 912089,162337199,e,True,2018-01-17,Tier 2,Minority-Owned,Not Rated,High,East,52.74412397755343,-3.337050803489521
TW_SUP_0044,Miller & Lee Consulting,Health & Safety Consultancy,United Kingdom,Maidstone,Skylar Jackson,skylar.jackson@miller.co.uk,+44 4453 212799,13455788,e,True,2020-03-11,Tier 3,Women-Owned,A,Low,East,50.70606269177769,-1.1680983881004785
TW_SUP_0045,Southern Rogers-Anderson Dynamics,Engineering Design Services,United Kingdom,Maidstone,Christopher Cook,christopher.cook@southern.co.uk,+44 2821 572235,101151925,e,True,2019-05-12,Tier 1,Women-Owned,BB,Low,South,50.73186656082502,-4.4322705603603465
TW_SUP_0046,Pipe Utilities,Renewable Energy Solutions,United Kingdom,Slough,James Rogers,james.rogers@pipe.co.uk,+44 1048 586356,165094823,e,False,2018-04-21,Tier 1,Veteran-Owned,B,Critical,Central,56.80573409741179,-3.5834069240830146
TW_SUP_0047,Cyber Utilities,Civil Engineering & Construction,Ireland,Limerick,Kenneth Kelly,kenneth.kelly@cyber.co.uk,+44 8433 856845,195261491,e,True,2021-05-06,Tier 1,Women-Owned,AA,High,International,34.35635786754759,20.98753158886862
TW_SUP_0048,Southern Butler-Nelson Water,Fleet Management & Logistics,United Kingdom,Manchester,Sophia Morgan,sophia.morgan@southern.co.uk,+44 8208 432370,176647759,e,True,2022-06-12,Tier 2,Veteran-Owned,A,Critical,South,54.170964750599275,-0.6554045987000787
TW_SUP_0049,Davis & Parker Partners,Heavy Plant & Equipment Hire,United Kingdom,Chelmsford,Benjamin Harris,benjamin.harris@davis.co.uk,+44 1584 769119,358442349,e,True,2023-09-07,Tier 2,Veteran-Owned,AAA,High,Central,54.22590480507851,-2.316557620791384
TW_SUP_0050,Kennet Services,Water Treatment Plant Operations,United Kingdom,Manchester,Sophia Martin,sophia.martin@kennet.co.uk,+44 9926 206638,298542135,e,True,2017-09-28,Tier 3,Not Applicable,BBB,High,Central,52.972582956031175,0.7288057910197496
TW_SUP_0051,Thames Insight Advisory 3,Heavy Plant & Equipment Hire,United Kingdom,Chelmsford,Jonathan Rivera,jonathan.rivera@thames.co.uk,+44 2493 334229,42458281,e,True,2023-11-15,Tier 3,Veteran-Owned,AA,Low,East,56.50710825782795,-5.560294755990513
TW_SUP_0052,Severn Tech,Chemicals Supply,United Kingdom,Bristol,James Morgan,james.morgan@severn.co.uk,+44 9393 295900,34431318,e,True,2023-06-20,Tier 1,Women-Owned,AAA,High,North,55.095399615634875,1.7927078274756951
TW_SUP_0053,Kennet Jackson-King Engineering,Waste Management & Sludge Treatment,United Kingdom,Oxford,Steven Miller,steven.miller@kennet.co.uk,+44 8673 657454,55768253,e,True,2018-09-07,Tier 3,Small Business,BBB,Medium,North,51.44925057328108,-1.3352477016988233
TW_SUP_0054,Southern PLC,Water Treatment Plant Operations,United Kingdom,Bristol,Anthony Ward,anthony.ward@southern.co.uk,+44 1143 597977,42795550,e,True,2022-05-14,Tier 1,Veteran-Owned,BBB,Low,East,50.852377528849914,-5.843694612091719
TW_SUP_0055,Thames Insight Partners 3,Chemicals Supply,United Kingdom,Manchester,Benjamin White,benjamin.white@thames.co.uk,+44 6582 782423,274278840,e,True,2022-09-07,Tier 3,Not Applicable,A,High,North,53.33210031518574,-5.698133636899354
TW_SUP_0056,Kennet Insight Consulting 3,Pipeline & Network Maintenance,United States,Dallas,Claire Ramirez,claire.ramirez@kennet.co.uk,+44 5349 398762,116062015,e,True,2021-08-02,Tier 3,Veteran-Owned,AA,Low,International,41.35475975949785,-59.28171788496595
TW_SUP_0057,Digital Insight Partners 3,Fleet Management & Logistics,United Kingdom,Guildford,Nicole Brooks,nicole.brooks@digital.co.uk,+44 9574 522423,362134571,e,True,2023-08-13,Tier 3,Not Applicable,B,Low,Central,52.47441115585242,-5.672097866191207
TW_SUP_0058,Cyber Systems,Waste Management & Sludge Treatment,United Kingdom,Southampton,Claire Barnes,claire.barnes@cyber.co.uk,+44 3771 891590,125723327,e,True,2022-01-01,Tier 1,Not Applicable,A,Critical,North,54.32481290157743,0.11245285636718627
TW_SUP_0059,Tech Collins Advisory,Fleet Management & Logistics,United Kingdom,Chelmsford,Daniel Wright,daniel.wright@tech.co.uk,+44 8597 602795,209663167,e,True,2023-07-07,Tier 2,Women-Owned,A,Low,West,56.8742761898203,1.4308166042256687
TW_SUP_0060,Walker & Myers Partners,Fleet Management & Logistics,United Kingdom,Southampton,Grace Rivera,grace.rivera@walker.co.uk,+44 6819 517172,103213704,e,True,2018-05-22,Tier 2,Women-Owned,AAA,Medium,South,57.04224208970696,1.5022766347268224
TW_SUP_0061,Data Wright-Phillips Engineering,Engineering Design Services,United Kingdom,Southampton,Adam Harris,adam.harris@data.co.uk,+44 4616 514780,44375845,e,True,2021-07-19,Tier 1,Not Applicable,BB,Medium,East,52.30630442368706,1.0433832791879523
TW_SUP_0062,Aqua Wilson Systems,Fleet Management & Logistics,Germany,Berlin,Sophia Nguyen,sophia.nguyen@aqua.co.uk,+44 8267 862181,259742130,e,True,2020-02-08,Tier 2,Minority-Owned,AAA,Low,International,27.89802115161844,-72.4402348929994
TW_SUP_0063,Cyber Nguyen Solutions,Professional Services (Legal/HR),United Kingdom,Birmingham,Brian Baker,brian.baker@cyber.co.uk,+44 7231 197391,4775101,e,True,2022-08-23,Tier 3,Not Applicable,Not Rated,Critical,Central,54.591468486681265,1.6026787263770546
TW_SUP_0064,Enviro Services,Chemicals Supply,United Kingdom,Luton,Samantha Murphy,samantha.murphy@enviro.co.uk,+44 8404 251778,330906156,e,True,2019-05-16,Tier 3,Not Applicable,AAA,Critical,East,55.03959656445864,-2.297853078032014
TW_SUP_0065,Data Baker-Harris Ltd,Heavy Plant & Equipment Hire,United Kingdom,Slough,Adam Bell,adam.bell@data.co.uk,+44 5331 605347,121352826,e,False,2023-12-25,Tier 1,Women-Owned,BB,Medium,West,57.83118122219804,1.2905901203351178
TW_SUP_0066,Aqua Hughes-Smith Systems,Professional Services (Legal/HR),United States,New York,Paul Clarke,paul.clarke@aqua.co.uk,+44 8561 990779,135800840,e,True,2022-03-26,Tier 1,Small Business,A,Medium,International,54.17658167097409,34.72157217044608
TW_SUP_0067,Cyber Insight Advisory 2,Customer Service Solutions,United Kingdom,Manchester,Benjamin Cruz,benjamin.cruz@cyber.co.uk,+44 8125 713196,109647248,e,True,2020-02-07,Tier 3,Not Applicable,BBB,Low,North,54.42802751887361,-3.411303511186022
TW_SUP_0068,Adams & Taylor Consulting,Metering Technology & Services,United Kingdom,Winchester,Ava Roberts,ava.roberts@adams.co.uk,+44 5122 912929,149799405,e,True,2017-10-30,Tier 3,Small Business,BB,Critical,North,51.48599917491231,-0.1999810915159026
TW_SUP_0069,Cyber Partners,Waste Management & Sludge Treatment,United Kingdom,Liverpool,Sarah Watson,sarah.watson@cyber.co.uk,+44 2356 335870,343245006,e,True,2022-03-08,Tier 3,Minority-Owned,AA,Critical,South,56.84050488368109,-5.273139700460447
TW_SUP_0070,Southern Morris-Green Dynamics,Leakage Detection Services,United Kingdom,Swindon,Amelia Sanders,amelia.sanders@southern.co.uk,+44 8904 912627,84826228,e,True,2021-08-26,Tier 1,Not Applicable,AAA,Low,West,50.90243777827258,1.6432463015643073
TW_SUP_0071,Hydro Sullivan Dynamics,IT & Technology Solutions,United Kingdom,Reading,Matthew Rodriguez,matthew.rodriguez@hydro.co.uk,+44 7200 974319,294591533,e,False,2019-12-22,Tier 1,Minority-Owned,AA,Low,North,55.86011983831729,-2.8673151292358936
TW_SUP_0072,Digital Insight Advisory 1,Pipeline & Network Maintenance,United Kingdom,Cambridge,Tyler Scott,tyler.scott@digital.co.uk,+44 1418 885239,388773969,e,True,2020-07-07,Tier 3,Women-Owned,B,Medium,East,53.426181115538256,-5.1847455496246155
TW_SUP_0073,London Insight Partners 3,Customer Service Solutions,United Kingdom,Swindon,Chloe Cox,chloe.cox@london.co.uk,+44 1632 863956,379412164,e,True,2017-08-27,Tier 3,Small Business,BB,Critical,Central,50.806455490638086,1.5481422586668625
TW_SUP_0074,Data Perry PLC,Health & Safety Consultancy,United Kingdom,Maidstone,Avery Sanders,avery.sanders@data.co.uk,+44 7767 212186,140011235,e,False,2018-06-11,Tier 3,Minority-Owned,A,Critical,North,53.832745357233875,0.7279224544608986
TW_SUP_0075,Data PLC,Mechanical & Electrical Engineering,United Kingdom,Cambridge,Alexis Bell,alexis.bell@data.co.uk,+44 7753 120772,193995625,e,True,2021-06-23,Tier 3,Women-Owned,A,Critical,West,56.88653047725208,-3.0770440104550967
TW_SUP_0076,Thames Insight Advisory 2,Metering Technology & Services,United Kingdom,Cambridge,Thomas Morris,thomas.morris@thames.co.uk,+44 3130 639821,313398841,e,True,2021-05-14,Tier 1,Women-Owned,B,High,Central,53.88184781341931,-3.4457097329732833
TW_SUP_0077,Tech Ltd,Water Treatment Plant Operations,Germany,Cologne,Timothy Rogers,timothy.rogers@tech.co.uk,+44 9017 213456,360144325,e,True,2019-11-03,Tier 3,Not Applicable,B,Critical,International,28.845208698929703,-83.29453696170475
TW_SUP_0078,Digital Insight Consulting 3,Customer Service Solutions,France,Bordeaux,Samuel Sullivan,samuel.sullivan@digital.co.uk,+44 3092 441166,334899784,e,True,2018-06-27,Tier 3,Women-Owned,A,Medium,International,31.806359304608357,-57.030759152751145
TW_SUP_0079,Data Insight Partners 2,Chemicals Supply,Germany,Hamburg,Daniel Ortiz,daniel.ortiz@data.co.uk,+44 7646 857247,132349983,e,False,2019-10-02,Tier 3,Not Applicable,AAA,High,International,47.98006895931802,10.246463660167848
TW_SUP_0080,Chem Ltd,Customer Service Solutions,United States,Dallas,Alexis Ramirez,alexis.ramirez@chem.co.uk,+44 6767 465127,48811268,e,False,2023-08-21,Tier 3,Veteran-Owned,BB,High,International,50.861882322857795,-34.78430499187894
TW_SUP_0081,Digital Edwards-Gomez Services,Professional Services (Legal/HR),United Kingdom,Manchester,Rebecca King,rebecca.king@digital.co.uk,+44 1597 319365,118933320,e,True,2020-11-28,Tier 2,Small Business,AAA,High,South,51.90061530059867,-2.8317772292507457
TW_SUP_0082,Thames Diaz-Barnes Technologies,Health & Safety Consultancy,United Kingdom,Edinburgh,Elizabeth Clarke,elizabeth.clarke@thames.co.uk,+44 6555 870213,11748543,e,True,2024-05-09,Tier 2,Veteran-Owned,CCC,Low,East,57.39435118399829,0.6447568257992682
TW_SUP_0083,Hydro Garcia-Ward Dynamics,Waste Management & Sludge Treatment,United States,Chicago,Ethan Cox,ethan.cox@hydro.co.uk,+44 1037 775010,57557264,e,True,2021-11-17,Tier 1,Women-Owned,B,Medium,International,26.178776146968186,-30.787659949630566
TW_SUP_0084,London Harris Engineering,Waste Management & Sludge Treatment,United Kingdom,Reading,Ethan Price,ethan.price@london.co.uk,+44 3616 721569,37979181,e,True,2021-05-26,Tier 2,Not Applicable,B,Critical,West,52.23786409636215,-4.650121330914645
TW_SUP_0085,UK Systems,Renewable Energy Solutions,Germany,Berlin,Richard Kelly,richard.kelly@uk.co.uk,+44 5288 177799,361208467,e,False,2024-03-07,Tier 2,Veteran-Owned,AAA,Critical,International,46.76197358810636,-21.777854144973503
TW_SUP_0086,Moore & Young Partners,Renewable Energy Solutions,United Kingdom,Slough,Ethan Powell,ethan.powell@moore.co.uk,+44 9044 323748,18014517,e,False,2017-09-25,Tier 2,Small Business,A,Critical,West,53.47485312002346,-3.1594707766000023
TW_SUP_0087,London Ltd,Facilities Management,United Kingdom,Luton,Kenneth Peterson,kenneth.peterson@london.co.uk,+44 7594 972564,277034319,e,False,2022-09-30,Tier 3,Not Applicable,BBB,Low,South,55.64162502666068,-1.5512313257702228
TW_SUP_0088,Foster & Sanders Consulting,Metering Technology & Services,Germany,Berlin,Sophia Rodriguez,sophia.rodriguez@foster.co.uk,+44 5356 416171,114235985,e,True,2021-12-11,Tier 3,Minority-Owned,A,Medium,International,54.1155379082947,-77.41887651199684
TW_SUP_0089,Tech Group,Environmental Consultancy,France,Lille,Dylan Harris,dylan.harris@tech.co.uk,+44 3702 470920,255105299,e,True,2022-05-07,Tier 2,Veteran-Owned,BB,Medium,International,57.7578983750085,12.819110677725945
TW_SUP_0090,UK Insight Advisory 1,Waste Management & Sludge Treatment,United Kingdom,Cambridge,Joseph Nguyen,joseph.nguyen@uk.co.uk,+44 6540 951353,182920168,e,False,2024-01-07,Tier 2,Small Business,BB,High,East,50.26714904605525,-1.212925813837165
TW_SUP_0091,Thames Kelly-Sullivan Advisory,Environmental Consultancy,United Kingdom,Slough,Gabriella Martin,gabriella.martin@thames.co.uk,+44 7506 359396,223064118,e,False,2017-08-05,Tier 3,Not Applicable,A,High,West,52.543436583155575,0.3902863068364866
TW_SUP_0092,Data Tech,Health & Safety Consultancy,United Kingdom,Edinburgh,Stella Scott,stella.scott@data.co.uk,+44 5338 984070,199570815,e,False,2021-02-23,Tier 3,Women-Owned,AAA,High,East,55.69461610104199,1.2073144373910871
TW_SUP_0093,London Ward-Miller Technologies,Pipeline & Network Maintenance,Ireland,Dublin,Natalie Jones,natalie.jones@london.co.uk,+44 5529 863371,385573894,e,True,2018-07-07,Tier 3,Not Applicable,Not Rated,Critical,International,54.78547573376611,-48.33276680860793
TW_SUP_0094,Lewis & Moore Consulting,Waste Management & Sludge Treatment,United Kingdom,Luton,Eva Bell,eva.bell@lewis.co.uk,+44 2963 425245,279336085,e,False,2020-05-13,Tier 1,Veteran-Owned,BBB,High,South,56.161599352425384,-5.120609560944105
TW_SUP_0095,Jenkins & Harris Partners,Heavy Plant & Equipment Hire,United Kingdom,Edinburgh,Elizabeth Powell,elizabeth.powell@jenkins.co.uk,+44 3747 239640,257653562,e,True,2020-02-17,Tier 3,Women-Owned,Not Rated,Medium,West,53.13120286820271,-0.7899950707462757
TW_SUP_0096,Digital Water,Civil Engineering & Construction,United Kingdom,Bristol,Natalie Davis,natalie.davis@digital.co.uk,+44 6523 199649,245443081,e,False,2021-01-24,Tier 1,Veteran-Owned,B,Medium,Central,52.69309153085219,0.304263355478942
TW_SUP_0097,Jackson & Brown Advisory,Professional Services (Legal/HR),United Kingdom,Leeds,Ava Hughes,ava.hughes@jackson.co.uk,+44 5862 839476,95274897,e,True,2018-06-27,Tier 1,Veteran-Owned,CCC,Medium,Central,55.99252511793072,-1.107558684974884
TW_SUP_0098,Nelson & Murphy Consulting,Water Treatment Plant Operations,United Kingdom,Oxford,Richard Green,richard.green@nelson.co.uk,+44 5304 551133,389870024,e,True,2022-12-08,Tier 3,Small Business,A,Critical,South,50.31823231758039,-1.9146851526390005
TW_SUP_0099,Chem Williams-Evans Water,Professional Services (Legal/HR),Germany,Berlin,Penelope Rivera,penelope.rivera@chem.co.uk,+44 6169 148451,284096329,e,True,2022-07-13,Tier 1,Veteran-Owned,CCC,Critical,International,46.6574367991182,-28.84413381990008
TW_SUP_0100,Cooper & Richardson Partners,Civil Engineering & Construction,United Kingdom,Liverpool,Liam Foster,liam.foster@cooper.co.uk,+44 2430 357215,110640440,e,True,2021-07-23,Tier 1,Not Applicable,BBB,High,West,56.87824037146304,-1.503427949941348
TW_SUP_0101,Kennet Taylor PLC,Professional Services (Legal/HR),United Kingdom,Southampton,Alexander Wright,alexander.wright@kennet.co.uk,+44 2483 137434,215014267,e,True,2023-03-02,Tier 3,Not Applicable,AAA,High,East,52.21614515446822,-4.04481555751538
TW_SUP_0102,Data Group,Waste Management & Sludge Treatment,United Kingdom,Guildford,Benjamin Flores,benjamin.flores@data.co.uk,+44 7922 501727,37156945,e,True,2020-10-17,Tier 2,Small Business,BB,Low,Central,57.099572595632665,-1.453945831779853
TW_SUP_0103,Aqua Barnes PLC,Environmental Consultancy,United Kingdom,Leeds,Hannah Hughes,hannah.hughes@aqua.co.uk,+44 1934 983002,377229070,e,True,2023-06-19,Tier 3,Veteran-Owned,AAA,High,East,51.936819382605506,-0.7096223829395356
TW_SUP_0104,Severn Solutions,Heavy Plant & Equipment Hire,United Kingdom,Swindon,Alexander Brooks,alexander.brooks@severn.co.uk,+44 2490 667258,18358119,e,True,2021-06-15,Tier 1,Not Applicable,AAA,Low,East,57.31109390962092,-1.9248210353460804
